Search Key,Name,Description,Account Type,Account Sign,Document Controlled,Summary Level,Default Account,Parent_Value,Element Level,Operands,Show Value Condition,Title Node
11122,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,Y,,1112,C,,Algebraic,N
11122001,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,N,,11122,S,,Algebraic,N
1113,VALORES EMITIDOS POR EMPRESA,VALORES EMITIDOS POR EMPRESA,ASSET,DEBIT,N,Y,,111,C,,Algebraic,N
11131,COSTO,COSTO,ASSET,DEBIT,N,Y,,1113,C,,Algebraic,N
11131001,COSTO,COSTO,ASSET,DEBIT,N,N,,11131,S,,Algebraic,N
11132,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,Y,,1113,C,,Algebraic,N
11132001,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,N,,11132,S,,Algebraic,N
1114,OTROS TITULOS REPRESENTATIVOS DE DEUDA,OTROS TITULOS REPRESENTATIVOS DE DEUDA,ASSET,DEBIT,N,Y,,111,C,,Algebraic,N
11141,COSTO,COSTO,ASSET,DEBIT,N,Y,,1114,C,,Algebraic,N
11141001,COSTO,COSTO,ASSET,DEBIT,N,N,,11141,S,,Algebraic,N
11142,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,Y,,1114,C,,Algebraic,N
11142001,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,N,,11142,S,,Algebraic,N
1115,PARTICIPACIONES EN ENTIDADES,PARTICIPACIONES EN ENTIDADES,ASSET,DEBIT,N,Y,,111,C,,Algebraic,N
11151,COSTO,COSTO,ASSET,DEBIT,N,Y,,1115,C,,Algebraic,N
11151001,COSTO,COSTO,ASSET,DEBIT,N,N,,11151,S,,Algebraic,N
11152,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,Y,,1115,C,,Algebraic,N
11152001,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,N,,11152,S,,Algebraic,N
112,INVERSIONES DISPONIBLES PARA LA VENTA,INVERSIONES DISPONIBLES PARA LA VENTA,ASSET,DEBIT,N,Y,,11,C,,Algebraic,N
1121,VALORES EMITIDOS O GARANTIZADOS POR EL ESTADO,VALORES EMITIDOS O GARANTIZADOS POR EL ESTADO,ASSET,DEBIT,N,Y,,112,C,,Algebraic,N
11211,COSTO,COSTO,ASSET,DEBIT,N,Y,,1121,C,,Algebraic,N
11211001,COSTO,COSTO,ASSET,DEBIT,N,N,,11211,S,,Algebraic,N
11212,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,Y,,1121,C,,Algebraic,N
11212001,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,N,,11212,S,,Algebraic,N
1122,VALORES EMITIDOS POR EL SISTEMA FINANCIERO,VALORES EMITIDOS POR EL SISTEMA FINANCIERO,ASSET,DEBIT,N,Y,,112,C,,Algebraic,N
11221,COSTO,COSTO,ASSET,DEBIT,N,Y,,1122,C,,Algebraic,N
11221001,COSTO,COSTO,ASSET,DEBIT,N,N,,11221,S,,Algebraic,N
11222,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,Y,,1122,C,,Algebraic,N
11222001,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,N,,11222,S,,Algebraic,N
1123,VALORES EMITIDOS POR EMPRESAS,VALORES EMITIDOS POR EMPRESAS,ASSET,DEBIT,N,Y,,112,C,,Algebraic,N
11231,COSTO,COSTO,ASSET,DEBIT,N,Y,,1123,C,,Algebraic,N
11231001,COSTO,COSTO,ASSET,DEBIT,N,N,,11231,S,,Algebraic,N
11232,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,Y,,1123,C,,Algebraic,N
11232001,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,N,,11232,S,,Algebraic,N
1124,OTROS TITULOS REPRESENTATIVOS DE DEUDA,OTROS TITULOS REPRESENTATIVOS DE DEUDA,ASSET,DEBIT,N,Y,,112,C,,Algebraic,N
11241,COSTO,COSTO,ASSET,DEBIT,N,Y,,1124,C,,Algebraic,N
11241001,COSTO,COSTO,ASSET,DEBIT,N,N,,11241,S,,Algebraic,N
11242,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,Y,,1124,C,,Algebraic,N
11242001,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,N,,11242,S,,Algebraic,N
113,ACTIVOS FINANCIEROS  ACUERDO DE COMPRA,ACTIVOS FINANCIEROS  ACUERDO DE COMPRA,ASSET,DEBIT,N,Y,,11,C,,Algebraic,N
1131,INVERSIONES MANTENIDAS PARA NEGOCIACION  ACUERDO DE COMPRA,INVERSIONES MANTENIDAS PARA NEGOCIACION  ACUERDO DE COMPRA,ASSET,DEBIT,N,Y,,113,C,,Algebraic,N
11311,COSTO,COSTO,ASSET,DEBIT,N,Y,,1131,C,,Algebraic,N
11311001,COSTO,COSTO,ASSET,DEBIT,N,N,,11311,S,,Algebraic,N
11312,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,Y,,1131,C,,Algebraic,N
11312001,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,N,,11312,S,,Algebraic,N
1132,INVERSIONES DISPONIBLES PARA LA VENTA  ACUERDO DE COMPRA,INVERSIONES DISPONIBLES PARA LA VENTA  ACUERDO DE COMPRA,ASSET,DEBIT,N,Y,,113,C,,Algebraic,N
11321,COSTO,COSTO,ASSET,DEBIT,N,Y,,1132,C,,Algebraic,N
11321001,COSTO,COSTO,ASSET,DEBIT,N,N,,11321,S,,Algebraic,N
11322,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,Y,,1132,C,,Algebraic,N
11322001,VALOR RAZONABLE,VALOR RAZONABLE,ASSET,DEBIT,N,N,,11322,S,,Algebraic,N
12,CUENTAS POR COBRAR COMERCIALES  TERCEROS ,CUENTAS POR COBRAR COMERCIALES  TERCEROS ,ASSET,DEBIT,N,Y,,1,C,,Algebraic,N
121,"FACTURAS, BOLETAS Y OTROS COMPROBANTES POR COBRAR","FACTURAS, BOLETAS Y OTROS COMPROBANTES POR COBRAR",ASSET,DEBIT,N,Y,,12,C,,Algebraic,N
1211,NO EMITIDAS,NO EMITIDAS,ASSET,DEBIT,N,Y,,121,C,,Algebraic,N
12110001,NO EMITIDAS,NO EMITIDAS,ASSET,DEBIT,N,N,,1211,S,,Algebraic,N
1212,EMITIDAS EN CARTERA,EMITIDAS EN CARTERA,ASSET,DEBIT,N,Y,,121,C,,Algebraic,N
12120001,EMITIDAS EN CARTERA,EMITIDAS EN CARTERA,ASSET,DEBIT,Y,N,C_RECEIVABLE_ACCT,1212,S,,Algebraic,N
1213,EN COBRANZA,EN COBRANZA,ASSET,DEBIT,N,Y,,121,C,,Algebraic,N
12130001,EN COBRANZA,EN COBRANZA,ASSET,DEBIT,N,N,,1213,S,,Algebraic,N
1214,EN DESCUENTO,EN DESCUENTO,ASSET,DEBIT,N,Y,,121,C,,Algebraic,N
12140001,EN DESCUENTO,EN DESCUENTO,ASSET,DEBIT,N,N,,1214,S,,Algebraic,N
122,ANTICIPOS DE CLIENTES,ANTICIPOS DE CLIENTES,ASSET,DEBIT,N,Y,,12,C,,Algebraic,N
12200001,ANTICIPOS DE CLIENTES,ANTICIPOS DE CLIENTES,ASSET,DEBIT,Y,N,C_PREPAYMENT_ACCT,122,S,,Algebraic,N
12200099,COBRANZAS NO IDENTIFICADAS,COBRANZAS NO IDENTIFICADAS,LIABILITY,CREDIT,Y,N,NOTINVOICEDRECEIPTS_ACCT,122,S,,Algebraic,N
123,LETRAS POR COBRAR,LETRAS POR COBRAR,ASSET,DEBIT,N,Y,,12,C,,Algebraic,N
1231,EN CARTERA,EN CARTERA,ASSET,DEBIT,N,Y,,123,C,,Algebraic,N
12310001,EN CARTERA,EN CARTERA,ASSET,DEBIT,N,N,,1231,S,,Algebraic,N
1232,EN COBRANZA,EN COBRANZA,ASSET,DEBIT,N,Y,,123,C,,Algebraic,N
12320001,EN COBRANZA,EN COBRANZA,ASSET,DEBIT,N,N,,1232,S,,Algebraic,N
1233,EN DESCUENTO,EN DESCUENTO,ASSET,DEBIT,N,Y,,123,C,,Algebraic,N
12330001,EN DESCUENTO,EN DESCUENTO,ASSET,DEBIT,N,N,,1233,S,,Algebraic,N
13,CUENTAS POR COBRAR COMERCIALES  RELACIONADAS  ,CUENTAS POR COBRAR COMERCIALES  RELACIONADAS  ,ASSET,DEBIT,N,Y,,1,C,,Algebraic,N
131,"FACTURAS, BOLETAS Y OTROS COMPROBANTES POR COBRAR","FACTURAS, BOLETAS Y OTROS COMPROBANTES POR COBRAR",ASSET,DEBIT,N,Y,,13,C,,Algebraic,N
1311,NO EMITIDAS,NO EMITIDAS,ASSET,DEBIT,N,Y,,131,C,,Algebraic,N
13111,MATRIZ,MATRIZ,ASSET,DEBIT,N,Y,,1311,C,,Algebraic,N
13111001,MATRIZ,MATRIZ,ASSET,DEBIT,N,N,,13111,S,,Algebraic,N
13112,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,Y,,1311,C,,Algebraic,N
13112001,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,N,,13112,S,,Algebraic,N
13113,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,Y,,1311,C,,Algebraic,N
13113001,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,N,,13113,S,,Algebraic,N
13114,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,Y,,1311,C,,Algebraic,N
13114001,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,N,,13114,S,,Algebraic,N
13115,OTROS,OTROS,ASSET,DEBIT,N,Y,,1311,C,,Algebraic,N
13115001,OTROS,OTROS,ASSET,DEBIT,N,N,,13115,S,,Algebraic,N
1312,EMITIDAS EN CARTERA,EMITIDAS EN CARTERA,ASSET,DEBIT,N,Y,,131,C,,Algebraic,N
13121,MATRIZ,MATRIZ,ASSET,DEBIT,N,Y,,1312,C,,Algebraic,N
13121001,MATRIZ,MATRIZ,ASSET,DEBIT,N,N,,13121,S,,Algebraic,N
13122,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,Y,,1312,C,,Algebraic,N
13122001,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,N,,13122,S,,Algebraic,N
13123,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,Y,,1312,C,,Algebraic,N
13123001,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,N,,13123,S,,Algebraic,N
13124,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,Y,,1312,C,,Algebraic,N
13124001,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,N,,13124,S,,Algebraic,N
13125,OTROS,OTROS,ASSET,DEBIT,N,Y,,1312,C,,Algebraic,N
13125001,OTROS,OTROS,ASSET,DEBIT,N,N,,13125,S,,Algebraic,N
1313,EN COBRANZA,EN COBRANZA,ASSET,DEBIT,N,Y,,131,C,,Algebraic,N
13131,MATRIZ,MATRIZ,ASSET,DEBIT,N,Y,,1313,C,,Algebraic,N
13131001,MATRIZ,MATRIZ,ASSET,DEBIT,N,N,,13131,S,,Algebraic,N
13132,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,Y,,1313,C,,Algebraic,N
13132001,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,N,,13132,S,,Algebraic,N
13133,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,Y,,1313,C,,Algebraic,N
13133001,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,N,,13133,S,,Algebraic,N
13134,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,Y,,1313,C,,Algebraic,N
13134001,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,N,,13134,S,,Algebraic,N
13135,OTROS,OTROS,ASSET,DEBIT,N,Y,,1313,C,,Algebraic,N
13135001,OTROS,OTROS,ASSET,DEBIT,N,N,,13135,S,,Algebraic,N
1314,EN DESCUENTO,EN DESCUENTO,ASSET,DEBIT,N,Y,,131,C,,Algebraic,N
13141,MATRIZ,MATRIZ,ASSET,DEBIT,N,Y,,1314,C,,Algebraic,N
13141001,MATRIZ,MATRIZ,ASSET,DEBIT,N,N,,13141,S,,Algebraic,N
13142,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,Y,,1314,C,,Algebraic,N
13142001,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,N,,13142,S,,Algebraic,N
13143,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,Y,,1314,C,,Algebraic,N
13143001,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,N,,13143,S,,Algebraic,N
13144,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,Y,,1314,C,,Algebraic,N
13144001,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,N,,13144,S,,Algebraic,N
13145,OTROS,OTROS,ASSET,DEBIT,N,Y,,1314,C,,Algebraic,N
13145001,OTROS,OTROS,ASSET,DEBIT,N,N,,13145,S,,Algebraic,N
132,ANTICIPOS RECIBIDOS,ANTICIPOS RECIBIDOS,ASSET,DEBIT,N,Y,,13,C,,Algebraic,N
1321,ANTICIPOS RECIBIDOS,ANTICIPOS RECIBIDOS,ASSET,DEBIT,N,Y,,132,C,,Algebraic,N
13211,MATRIZ,MATRIZ,ASSET,DEBIT,N,Y,,1321,C,,Algebraic,N
13211001,MATRIZ,MATRIZ,ASSET,DEBIT,N,N,,13211,S,,Algebraic,N
13212,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,Y,,1321,C,,Algebraic,N
13212001,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,N,,13212,S,,Algebraic,N
13213,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,Y,,1321,C,,Algebraic,N
13213001,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,N,,13213,S,,Algebraic,N
13214,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,Y,,1321,C,,Algebraic,N
13214001,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,N,,13214,S,,Algebraic,N
13215,OTROS,OTROS,ASSET,DEBIT,N,Y,,1321,C,,Algebraic,N
13215001,OTROS,OTROS,ASSET,DEBIT,N,N,,13215,S,,Algebraic,N
133,LETRAS POR COBRAR,LETRAS POR COBRAR,ASSET,DEBIT,N,Y,,13,C,,Algebraic,N
1331,EN CARTERA,EN CARTERA,ASSET,DEBIT,N,Y,,133,C,,Algebraic,N
13311,MATRIZ,MATRIZ,ASSET,DEBIT,N,Y,,1331,C,,Algebraic,N
13311001,MATRIZ,MATRIZ,ASSET,DEBIT,N,N,,13311,S,,Algebraic,N
13312,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,Y,,1331,C,,Algebraic,N
13312001,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,N,,13312,S,,Algebraic,N
13313,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,Y,,1331,C,,Algebraic,N
13313001,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,N,,13313,S,,Algebraic,N
13314,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,Y,,1331,C,,Algebraic,N
13314001,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,N,,13314,S,,Algebraic,N
13315,OTROS,OTROS,ASSET,DEBIT,N,Y,,1331,C,,Algebraic,N
13315001,OTROS,OTROS,ASSET,DEBIT,N,N,,13315,S,,Algebraic,N
1332,EN COBRANZA,EN COBRANZA,ASSET,DEBIT,N,Y,,133,C,,Algebraic,N
13321,MATRIZ,MATRIZ,ASSET,DEBIT,N,Y,,1332,C,,Algebraic,N
13321001,MATRIZ,MATRIZ,ASSET,DEBIT,N,N,,13321,S,,Algebraic,N
13322,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,Y,,1332,C,,Algebraic,N
13322001,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,N,,13322,S,,Algebraic,N
13323,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,Y,,1332,C,,Algebraic,N
13323001,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,N,,13323,S,,Algebraic,N
13324,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,Y,,1332,C,,Algebraic,N
13324001,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,N,,13324,S,,Algebraic,N
13325,OTROS,OTROS,ASSET,DEBIT,N,Y,,1332,C,,Algebraic,N
13325001,OTROS,OTROS,ASSET,DEBIT,N,N,,13325,S,,Algebraic,N
1333,EN DESCUENTO,EN DESCUENTO,ASSET,DEBIT,N,Y,,133,C,,Algebraic,N
13331,MATRIZ,MATRIZ,ASSET,DEBIT,N,Y,,1333,C,,Algebraic,N
13331001,MATRIZ,MATRIZ,ASSET,DEBIT,N,N,,13331,S,,Algebraic,N
13332,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,Y,,1333,C,,Algebraic,N
13332001,SUBSIDIARIAS,SUBSIDIARIAS,ASSET,DEBIT,N,N,,13332,S,,Algebraic,N
13333,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,Y,,1333,C,,Algebraic,N
13333001,ASOCIADAS,ASOCIADAS,ASSET,DEBIT,N,N,,13333,S,,Algebraic,N
13334,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,Y,,1333,C,,Algebraic,N
13334001,SUCURSALES,SUCURSALES,ASSET,DEBIT,N,N,,13334,S,,Algebraic,N
13335,OTROS,OTROS,ASSET,DEBIT,N,Y,,1333,C,,Algebraic,N
13335001,OTROS,OTROS,ASSET,DEBIT,N,N,,13335,S,,Algebraic,N
14,"CUENTAS POR COBRAR AL PERSONAL, A LOS ACCIONISTAS (SOCIOS), DIRECTORES  Y GERENTES ","CUENTAS POR COBRAR AL PERSONAL, A LOS ACCIONISTAS (SOCIOS), DIRECTORES  Y GERENTES ",ASSET,DEBIT,N,Y,,1,C,,Algebraic,N
141,PERSONAL,PERSONAL,ASSET,DEBIT,N,Y,,14,C,,Algebraic,N
1411,PRESTAMOS,PRESTAMOS,ASSET,DEBIT,N,Y,,141,C,,Algebraic,N
14110001,PRESTAMOS,PRESTAMOS,ASSET,DEBIT,N,N,,1411,S,,Algebraic,N
1412,ADELANTO DE REMUNERACIONES,ADELANTO DE REMUNERACIONES,ASSET,DEBIT,N,Y,,141,C,,Algebraic,N
14120001,ADELANTO DE REMUNERACIONES,ADELANTO DE REMUNERACIONES,ASSET,DEBIT,N,N,,1412,S,,Algebraic,N
1413,ENTREGAS A RENDIR CUENTA,ENTREGAS A RENDIR CUENTA,ASSET,DEBIT,N,Y,,141,C,,Algebraic,N
14130001,ENTREGAS A RENDIR CUENTA,ENTREGAS A RENDIR CUENTA,ASSET,DEBIT,N,N,,1413,S,,Algebraic,N
1419,OTRAS CUENTAS POR COBRAR AL PERSONAL,OTRAS CUENTAS POR COBRAR AL PERSONAL,ASSET,DEBIT,N,Y,,141,C,,Algebraic,N
14190001,OTRAS CUENTAS POR COBRAR AL PERSONAL,OTRAS CUENTAS POR COBRAR AL PERSONAL,ASSET,DEBIT,N,N,,1419,S,,Algebraic,N
142,ACCIONISTAS (O SOCIOS),ACCIONISTAS (O SOCIOS),ASSET,DEBIT,N,Y,,14,C,,Algebraic,N
1421,SUSCRIPCIONES POR COBRAR A SOCIOS O ACCIONISTAS,SUSCRIPCIONES POR COBRAR A SOCIOS O ACCIONISTAS,ASSET,DEBIT,N,Y,,142,C,,Algebraic,N
14210001,SUSCRIPCIONES POR COBRAR A SOCIOS O ACCIONISTAS,SUSCRIPCIONES POR COBRAR A SOCIOS O ACCIONISTAS,ASSET,DEBIT,N,N,,1421,S,,Algebraic,N
1422,PRESTAMOS,PRESTAMOS,ASSET,DEBIT,N,Y,,142,C,,Algebraic,N
14220001,PRESTAMOS,PRESTAMOS,ASSET,DEBIT,N,N,,1422,S,,Algebraic,N
143,DIRECTORES,DIRECTORES,ASSET,DEBIT,N,Y,,14,C,,Algebraic,N
1431,PRESTAMOS,PRESTAMOS,ASSET,DEBIT,N,Y,,143,C,,Algebraic,N
14310001,PRESTAMOS,PRESTAMOS,ASSET,DEBIT,N,N,,1431,S,,Algebraic,N
1432,ADELANTO DE DIETAS,ADELANTO DE DIETAS,ASSET,DEBIT,N,Y,,143,C,,Algebraic,N
14320001,ADELANTO DE DIETAS,ADELANTO DE DIETAS,ASSET,DEBIT,N,N,,1432,S,,Algebraic,N
1433,ENTREGAS A RENDIR CUENTA,ENTREGAS A RENDIR CUENTA,ASSET,DEBIT,N,Y,,143,C,,Algebraic,N
14330001,ENTREGAS A RENDIR CUENTA,ENTREGAS A RENDIR CUENTA,ASSET,DEBIT,N,N,,1433,S,,Algebraic,N
144,GERENTES,GERENTES,ASSET,DEBIT,N,Y,,14,C,,Algebraic,N
1441,PRESTAMOS,PRESTAMOS,ASSET,DEBIT,N,Y,,144,C,,Algebraic,N
14410001,PRESTAMOS,PRESTAMOS,ASSET,DEBIT,N,N,,1441,S,,Algebraic,N
1442,ADELANTO DE REMUNERACIONES,ADELANTO DE REMUNERACIONES,ASSET,DEBIT,N,Y,,144,C,,Algebraic,N
14420001,ADELANTO DE REMUNERACIONES,ADELANTO DE REMUNERACIONES,ASSET,DEBIT,N,N,,1442,S,,Algebraic,N
1443,ENTREGAS A RENDIR CUENTA,ENTREGAS A RENDIR CUENTA,ASSET,DEBIT,N,Y,,144,C,,Algebraic,N
14430001,ENTREGAS A RENDIR CUENTA,ENTREGAS A RENDIR CUENTA,ASSET,DEBIT,N,N,,1443,S,,Algebraic,N
148,DIVERSAS,DIVERSAS,ASSET,DEBIT,N,Y,,14,C,,Algebraic,N
14800001,DIVERSAS,DIVERSAS,ASSET,DEBIT,N,N,,148,S,,Algebraic,N
16,CUENTAS POR COBRAR DIVERSAS  TERCEROS,CUENTAS POR COBRAR DIVERSAS  TERCEROS,ASSET,DEBIT,N,Y,,1,C,,Algebraic,N
